AlbumID,GenreName
1,Metal
2,Metal
3,Pure Music
4,Metal
5,Metal
6,Classic
7,Pop
8,Rock
9,Electronic
10,Rock
11,Blues
12,Rock
13,Metal
14,Electronic
15,Hip Hop
16,Pop
17,Pure Music
18,Electronic
19,Blues
20,Pure Music
21,Rock
22,Rock
23,Classic
24,Country
25,Electronic
26,Jazz
27,Pure Music
28,Pure Music
29,Jazz
30,Pop
31,Metal
32,Pop
33,Electronic
34,Rock
35,Blues
36,Pure Music
37,Pure Music
38,Rock
39,Pure Music
40,Classic
41,Metal
42,Hip Hop
43,Country
44,Rock
45,Jazz
46,Country
47,Pure Music
48,Electronic
49,Blues
50,Country
51,Electronic
52,Pure Music
53,Metal
54,Country
55,Pop
56,Jazz
57,Metal
58,Classic
59,Electronic
60,Pure Music
61,Rock
62,Rock
63,Country
64,Pure Music
65,Country
66,Country
67,Country
68,Classic
69,Country
70,Pop
71,Country
72,Rock
73,Classic
74,Blues
75,Blues
76,Blues
77,Electronic
78,Blues
79,Country
80,Classic
81,Electronic
82,Pure Music
83,Jazz
84,Pop
85,Pop
86,Electronic
87,Electronic
88,Hip Hop
89,Metal
90,Jazz
91,Country
92,Rock
93,Metal
94,Blues
95,Jazz
96,Hip Hop
97,Rock
98,Country
99,Classic
100,Country
101,Rock
102,Pure Music
103,Rock
104,Classic
105,Hip Hop
106,Hip Hop
107,Pop
108,Pop
109,Classic
110,Jazz
111,Jazz
112,Classic
113,Jazz
114,Blues
115,Pure Music
116,Blues
117,Rock
118,Jazz
119,Metal
120,Pop
121,Country
122,Pure Music
123,Rock
124,Country
125,Rock
126,Pop
127,Metal
128,Pop
129,Metal
130,Electronic
131,Pop
132,Metal
133,Pop
134,Classic
135,Blues
136,Metal
137,Metal
138,Rock
139,Country
140,Rock
141,Pure Music
142,Metal
143,Jazz
144,Metal
145,Blues
146,Country
147,Hip Hop
148,Metal
149,Classic
150,Rock
151,Blues
152,Pure Music
153,Pure Music
154,Pop
155,Electronic
156,Jazz
157,Pop
158,Blues
159,Metal
160,Blues
161,Classic
162,Country
163,Pure Music
164,Hip Hop
165,Pop
166,Pop
167,Metal
168,Electronic
169,Rock
170,Hip Hop
171,Classic
172,Classic
173,Country
174,Country
175,Jazz
176,Rock
177,Classic
178,Jazz
179,Hip Hop
180,Blues
181,Metal
182,Hip Hop
183,Pure Music
184,Electronic
185,Jazz
186,Jazz
187,Classic
188,Rock
189,Jazz
190,Pop
191,Country
192,Electronic
193,Rock
194,Blues
195,Jazz
196,Rock
197,Hip Hop
198,Pure Music
199,Jazz
200,Pop
201,Electronic
202,Blues
203,Pure Music
204,Metal
205,Jazz
206,Blues
207,Country
208,Hip Hop
209,Metal
210,Pop
211,Classic
212,Jazz
213,Pop
214,Pure Music
215,Electronic
216,Pure Music
217,Classic
218,Electronic
219,Metal
220,Jazz
221,Rock
222,Electronic
223,Jazz
224,Metal
225,Pure Music
226,Pop
227,Metal
228,Blues
229,Metal
230,Jazz
231,Blues
232,Jazz
233,Pop
234,Blues
235,Pop
236,Pop
237,Pure Music
238,Pure Music
239,Classic
240,Jazz
241,Electronic
242,Metal
243,Blues
244,Jazz
245,Electronic
246,Hip Hop
247,Metal
248,Rock
249,Blues
250,Blues
251,Rock
252,Blues
253,Electronic
254,Jazz
255,Electronic
256,Country
257,Classic
258,Hip Hop
259,Blues
260,Jazz
261,Blues
262,Metal
263,Rock
264,Electronic
265,Jazz
266,Jazz
267,Metal
268,Classic
269,Rock
270,Jazz
271,Country
272,Pure Music
273,Classic
274,Jazz
275,Electronic
276,Metal
277,Blues
278,Classic
279,Jazz
280,Metal
281,Electronic
282,Electronic
283,Blues
284,Pure Music
285,Metal
286,Electronic
287,Classic
288,Hip Hop
289,Metal
290,Jazz
291,Classic
292,Pure Music
293,Classic
294,Pop
295,Pop
296,Electronic
297,Pure Music
298,Pop
299,Jazz
300,Pure Music
301,Country
302,Rock
303,Jazz
304,Metal
305,Classic
306,Jazz
307,Pop
308,Electronic
309,Rock
310,Hip Hop
311,Hip Hop
312,Classic
313,Pure Music
314,Blues
315,Pop
316,Country
317,Pure Music
318,Blues
319,Metal
320,Rock
321,Country
322,Hip Hop
323,Pure Music
324,Blues
325,Metal
326,Pure Music
327,Jazz
328,Pop
329,Classic
330,Pop
331,Rock
332,Rock
333,Rock
334,Rock
335,Hip Hop
336,Hip Hop
337,Jazz
338,Rock
339,Rock
340,Electronic
341,Hip Hop
342,Classic
343,Classic
344,Electronic
345,Blues
346,Classic
347,Pop
348,Hip Hop
349,Blues
350,Jazz
351,Country
352,Hip Hop
353,Country
354,Jazz
355,Electronic
356,Pure Music
357,Classic
358,Electronic
359,Blues
360,Hip Hop
361,Country
362,Jazz
363,Metal
364,Classic
365,Country
366,Jazz
367,Country
368,Pure Music
369,Country
370,Pure Music
371,Pure Music
372,Blues
373,Country
374,Blues
375,Country
376,Jazz
377,Pop
378,Rock
379,Rock
380,Country
381,Blues
382,Country
383,Pure Music
384,Rock
385,Rock
386,Rock
387,Pop
388,Pure Music
389,Rock
390,Classic
391,Jazz
392,Blues
393,Pure Music
394,Country
395,Classic
396,Hip Hop
397,Classic
398,Classic
399,Blues
400,Rock
401,Blues
402,Blues
403,Pure Music
404,Hip Hop
405,Electronic
406,Metal
407,Blues
408,Blues
409,Pop
410,Rock
411,Country
412,Pop
413,Jazz
414,Metal
415,Electronic
416,Hip Hop
417,Classic
418,Blues
419,Rock
420,Pop
421,Rock
422,Pop
423,Electronic
424,Jazz
425,Hip Hop
426,Metal
427,Electronic
428,Blues
429,Electronic
430,Jazz
431,Classic
432,Blues
433,Blues
434,Hip Hop
435,Pure Music
436,Country
437,Rock
438,Country
439,Country
440,Blues
441,Country
442,Classic
443,Pure Music
444,Blues
445,Blues
446,Hip Hop
447,Pop
448,Jazz
449,Rock
450,Blues
451,Pop
452,Jazz
453,Pop
454,Pop
455,Rock
456,Jazz
457,Pure Music
458,Jazz
459,Hip Hop
460,Hip Hop
461,Metal
462,Pop
463,Electronic
464,Metal
465,Pop
466,Rock
467,Jazz
468,Rock
469,Blues
470,Hip Hop
471,Jazz
472,Pop
473,Pure Music
474,Electronic
475,Pure Music
476,Blues
477,Classic
478,Rock
479,Jazz
480,Jazz
481,Blues
482,Hip Hop
483,Pure Music
484,Jazz
485,Hip Hop
486,Blues
487,Pop
488,Metal
489,Country
490,Country
491,Jazz
492,Country
493,Country
494,Electronic
495,Classic
496,Jazz
497,Blues
498,Blues
499,Jazz
500,Country
501,Hip Hop
502,Blues
503,Pure Music
504,Electronic
505,Country
506,Rock
507,Pop
508,Jazz
509,Blues
510,Pop
511,Country
512,Electronic
513,Jazz
514,Blues
515,Classic
516,Rock
517,Jazz
518,Pure Music
519,Pop
520,Pop
521,Classic
522,Jazz
523,Country
524,Rock
525,Metal
526,Rock
527,Hip Hop
528,Electronic
529,Electronic
530,Pure Music
531,Classic
532,Rock
533,Hip Hop
534,Jazz
535,Jazz
536,Classic
537,Jazz
538,Country
539,Rock
540,Pop
541,Metal
542,Jazz
543,Classic
544,Pure Music
545,Pop
546,Classic
547,Electronic
548,Blues
549,Pure Music
550,Jazz
551,Pop
552,Hip Hop
553,Rock
554,Pop
555,Jazz
556,Electronic
557,Hip Hop
558,Electronic
559,Blues
560,Metal
561,Blues
562,Jazz
563,Pure Music
564,Pop
565,Metal
566,Metal
567,Jazz
568,Blues
569,Rock
570,Electronic
571,Classic
572,Jazz
573,Electronic
574,Jazz
575,Country
576,Hip Hop
577,Pure Music
578,Pure Music
579,Metal
580,Classic
581,Rock
582,Classic
583,Rock
584,Pop
585,Electronic
586,Country
587,Rock
588,Classic
589,Country
590,Electronic
591,Classic
592,Blues
593,Electronic
594,Electronic
595,Pop
596,Blues
597,Blues
598,Metal
599,Jazz
600,Pop
601,Pure Music
602,Hip Hop
603,Classic
604,Country
605,Blues
606,Classic
607,Classic
608,Blues
609,Pure Music
610,Country
611,Classic
612,Hip Hop
613,Pure Music
614,Country
615,Jazz
616,Blues
617,Jazz
618,Electronic
619,Country
620,Country
621,Pure Music
622,Electronic
623,Electronic
624,Hip Hop
625,Blues
626,Classic
627,Country
628,Jazz
629,Metal
630,Blues
631,Metal
632,Jazz
633,Metal
634,Pure Music
635,Jazz
636,Pure Music
637,Classic
638,Pop
639,Blues
640,Blues
641,Jazz
642,Rock
643,Rock
644,Hip Hop
645,Blues
646,Jazz
647,Blues
648,Rock
649,Blues
650,Hip Hop
651,Hip Hop
652,Classic
653,Classic
654,Rock
655,Electronic
656,Classic
657,Classic
658,Country
659,Rock
660,Blues
661,Blues
662,Blues
663,Rock
664,Metal
665,Pure Music
666,Blues
667,Blues
668,Hip Hop
669,Classic
670,Metal
671,Country
672,Rock
673,Blues
674,Country
675,Hip Hop
676,Pop
677,Electronic
678,Hip Hop
679,Jazz
680,Country
681,Blues
682,Pop
683,Electronic
684,Electronic
685,Metal
686,Hip Hop
687,Pop
688,Pure Music
689,Pop
690,Pop
691,Blues
692,Pop
693,Pure Music
694,Classic
695,Pop
696,Metal
697,Jazz
698,Classic
699,Hip Hop
700,Metal
701,Hip Hop
702,Country
703,Pop
704,Hip Hop
705,Jazz
706,Country
707,Blues
708,Jazz
709,Electronic
710,Classic
711,Pop
712,Country
713,Classic
714,Pure Music
715,Pure Music
716,Jazz
717,Blues
718,Hip Hop
719,Pure Music
720,Classic
721,Hip Hop
722,Pop
723,Hip Hop
724,Hip Hop
725,Classic
726,Jazz
727,Blues
728,Electronic
729,Country
730,Pure Music
731,Blues
732,Jazz
733,Blues
734,Hip Hop
735,Pure Music
736,Metal
737,Metal
738,Rock
739,Hip Hop
740,Classic
741,Metal
742,Metal
743,Rock
744,Blues
745,Blues
746,Pure Music
747,Hip Hop
748,Rock
749,Pure Music
750,Pop
751,Country
752,Electronic
753,Jazz
754,Classic
755,Blues
756,Pop
757,Electronic
758,Country
759,Jazz
760,Rock
761,Rock
762,Jazz
763,Country
