PlayListID,TrackID
1,683668
1,136717
1,2818
1,295162
2,351937
3,736652
3,359855
3,114793
3,543330
3,314069
4,890342
4,817114
4,637199
4,850596
4,73864
4,173187
4,898535
4,503407
5,613978
5,768296
5,262303
5,522135
5,96159
5,815208
5,232021
5,664732
5,84891
5,752010
6,539670
6,946784
6,487560
6,646919
6,309750
6,204640
6,311496
6,948219
7,353560
7,624256
7,316352
7,58039
8,777311
8,417935
8,700693
8,330036
8,30772
8,632587
8,470478
9,168843
9,243566
9,308958
9,329226
9,867971
9,497533
9,795589
9,483689
10,214727
10,287363
11,34458
11,40430
11,364100
11,203046
11,298789
11,249992
11,89039
11,796619
12,957449
12,258550
12,264277
12,610448
12,919307
12,498050
12,280575
12,981288
13,983614
14,158289
14,547105
14,455184
14,815609
14,427076
14,197863
15,487000
15,566410
15,857638
15,273842
16,283168
17,303653
17,775998
17,132824
17,892304
17,794202
17,412881
18,298963
19,660837
19,325307
19,922506
19,60783
20,608525
20,287761
20,394674
20,666562
20,487647
20,829892
20,376406
21,999866
21,830567
21,456318
21,19861
21,542933
22,257154
22,190110
22,795442
22,867140
22,442721
22,467678
23,653009
24,7831
24,145547
24,786765
24,343741
25,167205
25,459452
25,737177
25,156554
25,772698
25,815461
25,424862
26,703918
26,905722
26,236838
26,929974
26,477549
26,458596
26,872948
26,836360
27,226765
27,425286
27,385368
27,281182
28,931146
28,332530
28,692470
29,459207
29,996897
29,228172
29,417552
29,752786
29,62496
29,431865
29,882945
30,230618
30,452
30,706660
30,278489
30,525483
30,644495
30,329293
30,401081
31,879576
31,569279
31,257797
31,26210
31,810709
31,45182
32,862595
32,710398
32,885505
32,693798
33,462160
33,173838
33,437988
33,273538
33,75920
33,656134
33,341958
34,764032
34,778827
34,605541
34,672484
34,401212
35,415841
35,548982
35,993436
35,404780
35,691969
35,692342
36,372596
36,904610
36,486693
36,737947
36,191897
36,627136
36,470483
37,290125
37,862294
37,873015
37,177529
37,270552
38,207950
38,605195
39,839269
39,222789
39,212090
39,141223
39,622411
39,819296
39,738368
